,flow,country1,country2,currency,amount
0,Import,AUS,AUS,USD,87889909.0
1,Import,AUT,AUS,USD,7412391.0
2,Import,BEL,AUS,USD,145663801.0
3,Import,CAN,AUS,USD,145634019.0
4,Import,CZE,AUS,USD,14055716.0
5,Import,DNK,AUS,USD,8928915.0
6,Import,FIN,AUS,USD,13311575.0
7,Import,FRA,AUS,USD,115315781.0
8,Import,DEU,AUS,USD,278268589.0
9,Import,GRC,AUS,USD,889097.0
10,Import,HUN,AUS,USD,2614250.0
11,Import,ISL,AUS,USD,276832.0
12,Import,IRL,AUS,USD,9862520.0
13,Import,ITA,AUS,USD,65419327.0
14,Import,JPN,AUS,USD,4247503294.0
15,Import,LUX,AUS,USD,42840.0
16,Import,MEX,AUS,USD,43178954.0
17,Import,NLD,AUS,USD,94359926.0
18,Import,NOR,AUS,USD,10875339.0
19,Import,POL,AUS,USD,27837917.0
20,Import,PRT,AUS,USD,1615228.0
21,Import,SWE,AUS,USD,30516643.0
22,Import,CHE,AUS,USD,25286567.0
23,Import,TUR,AUS,USD,102756058.0
24,Import,GBR,AUS,USD,279429682.0
25,Import,USA,AUS,USD,772666667.0
26,Import,CHL,AUS,USD,34523672.0
27,Import,EST,AUS,USD,1141626.0
28,Import,SVN,AUS,USD,2568081.0
57,Import,AUS,AUT,USD,72856622.0
58,Import,BEL,AUT,USD,222729385.0
59,Import,CAN,AUT,USD,119815893.0
60,Import,CZE,AUT,USD,366807299.0
61,Import,DNK,AUT,USD,76476468.0
62,Import,FIN,AUT,USD,57017168.0
63,Import,FRA,AUT,USD,593756119.0
64,Import,DEU,AUT,USD,4075424370.0
65,Import,GRC,AUT,USD,47917976.0
66,Import,HUN,AUT,USD,546375917.0
67,Import,ISL,AUT,USD,2725653.0
68,Import,ITA,AUT,USD,995350363.0
69,Import,JPN,AUT,USD,143850996.0
70,Import,LUX,AUT,USD,12352380.0
71,Import,MEX,AUT,USD,77648159.0
72,Import,NLD,AUT,USD,213308722.0
73,Import,NOR,AUT,USD,63263921.0
74,Import,POL,AUT,USD,304681000.0
75,Import,PRT,AUT,USD,30131836.0
76,Import,SWE,AUT,USD,144990574.0
77,Import,CHE,AUT,USD,720519081.0
78,Import,TUR,AUT,USD,145808612.0
79,Import,GBR,AUT,USD,341743263.0
80,Import,USA,AUT,USD,815033333.0
81,Import,CHL,AUT,USD,30059019.0
82,Import,EST,AUT,USD,13371904.0
83,Import,SVN,AUT,USD,200861168.0
112,Import,AUS,BEL,USD,136049172.0
113,Import,AUT,BEL,USD,211768974.0
114,Import,CAN,BEL,USD,146655685.0
115,Import,CZE,BEL,USD,202966960.0
116,Import,DNK,BEL,USD,242753237.0
117,Import,FIN,BEL,USD,135154627.0
118,Import,FRA,BEL,USD,4364478517.0
119,Import,DEU,BEL,USD,4306431495.0
120,Import,GRC,BEL,USD,144975960.0
121,Import,HUN,BEL,USD,180265500.0
122,Import,ISL,BEL,USD,4997958.0
123,Import,ITA,BEL,USD,1646818774.0
124,Import,JPN,BEL,USD,207036752.0
125,Import,LUX,BEL,USD,701649379.0
126,Import,MEX,BEL,USD,82547131.0
127,Import,NLD,BEL,USD,4108866970.0
128,Import,NOR,BEL,USD,141136761.0
129,Import,POL,BEL,USD,395677417.0
130,Import,PRT,BEL,USD,156350686.0
131,Import,SWE,BEL,USD,504125743.0
132,Import,CHE,BEL,USD,400825748.0
133,Import,TUR,BEL,USD,320281778.0
134,Import,GBR,BEL,USD,2595475315.0
135,Import,USA,BEL,USD,1584633333.0
136,Import,CHL,BEL,USD,37814489.0
137,Import,EST,BEL,USD,23858259.0
138,Import,SVN,BEL,USD,34399049.0
167,Import,AUS,CAN,USD,161384648.0
168,Import,AUT,CAN,USD,50413143.0
169,Import,BEL,CAN,USD,287223453.0
170,Import,CAN,CAN,USD,282428416.0
171,Import,CZE,CAN,USD,15011126.0
172,Import,DNK,CAN,USD,36299105.0
173,Import,FIN,CAN,USD,27358394.0
174,Import,FRA,CAN,USD,362978729.0
175,Import,DEU,CAN,USD,498203160.0
176,Import,GRC,CAN,USD,12488222.0
177,Import,HUN,CAN,USD,50743167.0
178,Import,ISL,CAN,USD,4014428.0
179,Import,IRL,CAN,USD,37172809.0
180,Import,ITA,CAN,USD,178911036.0
181,Import,JPN,CAN,USD,997873581.0
182,Import,LUX,CAN,USD,5610865.0
183,Import,MEX,CAN,USD,820587089.0
184,Import,NLD,CAN,USD,143389334.0
185,Import,NOR,CAN,USD,166988673.0
186,Import,POL,CAN,USD,33057083.0
187,Import,PRT,CAN,USD,19391416.0
188,Import,SWE,CAN,USD,31741135.0
189,Import,CHE,CAN,USD,63224373.0
190,Import,TUR,CAN,USD,113047055.0
191,Import,GBR,CAN,USD,747109155.0
192,Import,USA,CAN,USD,27673150000.0
193,Import,CHL,CAN,USD,128668217.0
194,Import,EST,CAN,USD,2453813.0
195,Import,SVN,CAN,USD,13158859.0
224,Import,AUS,CZE,USD,51725641.0
225,Import,AUT,CZE,USD,590320065.0
226,Import,BEL,CZE,USD,346634360.0
227,Import,CAN,CZE,USD,36128001.0
228,Import,CZE,CZE,USD,0.0
229,Import,DNK,CZE,USD,111535696.0
230,Import,FIN,CZE,USD,68500941.0
231,Import,FRA,CZE,USD,615711514.0
232,Import,DEU,CZE,USD,3663208675.0
233,Import,GRC,CZE,USD,23861713.0
234,Import,HUN,CZE,USD,341640000.0
235,Import,ISL,CZE,USD,4064657.0
236,Import,IRL,CZE,USD,36035486.0
237,Import,ITA,CZE,USD,488510102.0
238,Import,JPN,CZE,USD,66145992.0
239,Import,LUX,CZE,USD,8443887.0
240,Import,MEX,CZE,USD,70204763.0
241,Import,NLD,CZE,USD,521717327.0
242,Import,NOR,CZE,USD,80742999.0
243,Import,POL,CZE,USD,630906833.0
244,Import,PRT,CZE,USD,35218641.0
245,Import,SWE,CZE,USD,157180794.0
246,Import,CHE,CZE,USD,196090757.0
247,Import,TUR,CZE,USD,218933721.0
248,Import,GBR,CZE,USD,593459558.0
249,Import,USA,CZE,USD,326716667.0
250,Import,CHL,CZE,USD,4287605.0
251,Import,EST,CZE,USD,18045581.0
252,Import,SVN,CZE,USD,61176723.0
281,Import,AUS,DNK,USD,87455710.0
282,Import,AUT,DNK,USD,57522051.0
283,Import,BEL,DNK,USD,121466991.0
284,Import,CAN,DNK,USD,81102282.0
285,Import,CZE,DNK,USD,71461287.0
286,Import,FIN,DNK,USD,198257388.0
287,Import,FRA,DNK,USD,264839582.0
288,Import,DEU,DNK,USD,1273156151.0
289,Import,GRC,DNK,USD,47222120.0
290,Import,HUN,DNK,USD,54718917.0
291,Import,ISL,DNK,USD,25486838.0
292,Import,IRL,DNK,USD,70064947.0
293,Import,ITA,DNK,USD,219974573.0
294,Import,JPN,DNK,USD,170772558.0
295,Import,LUX,DNK,USD,2937280.0
296,Import,MEX,DNK,USD,35112816.0
297,Import,NLD,DNK,USD,446706825.0
298,Import,NOR,DNK,USD,453943621.0
299,Import,POL,DNK,USD,209431083.0
300,Import,PRT,DNK,USD,27912748.0
301,Import,SWE,DNK,USD,1019876161.0
302,Import,CHE,DNK,USD,72679766.0
303,Import,TUR,DNK,USD,68189515.0
304,Import,GBR,DNK,USD,692500669.0
305,Import,USA,DNK,USD,540258333.0
306,Import,CHL,DNK,USD,19253659.0
307,Import,EST,DNK,USD,19818184.0
308,Import,SVN,DNK,USD,7042907.0
337,Import,AUS,FIN,USD,66659734.0
338,Import,AUT,FIN,USD,47326515.0
339,Import,BEL,FIN,USD,219855920.0
340,Import,CAN,FIN,USD,105499165.0
341,Import,CZE,FIN,USD,33651943.0
342,Import,DNK,FIN,USD,134522280.0
343,Import,FRA,FIN,USD,221719104.0
344,Import,DEU,FIN,USD,680157637.0
345,Import,GRC,FIN,USD,14420543.0
346,Import,HUN,FIN,USD,26688750.0
347,Import,ISL,FIN,USD,3506394.0
348,Import,IRL,FIN,USD,11114046.0
349,Import,ITA,FIN,USD,145350586.0
350,Import,JPN,FIN,USD,120196118.0
351,Import,LUX,FIN,USD,3418947.0
352,Import,MEX,FIN,USD,49435664.0
353,Import,NLD,FIN,USD,380310758.0
354,Import,NOR,FIN,USD,190013823.0
